"CTRL_0"	"CTRL_1"	"CTRL_2"	"CTRL_3"	"CTRL_4"	"CTRL_5"	"CTRL_6"	"CTRL_7"	"CTRL_8"	"LUTS_0"	"LUTS_1"	"LUTS_2"	"LUTS_3"	"LUTS_4"	"LUTS_5"	"LUTS_6"	"LUTS_7"	"LUTS_8"
"ABHD12B"	0	0	0	0	0	0	389.515	43.3062	0	0	0	0	0	1641.5	22.0899	210.327	23.5082	0
"ABHD13"	77.0394	990.113	3595.14	475.774	426.138	289.632	1180.23	398.585	795.496	1230.34	102.976	313.294	0	1.82186	419.92	412.993	480.85	1054.51
"ABHD14A"	0	0	0	0	0	242.107	0	7.56808	31.0221	0	0	0	0	202.226	4.03565	0	0	1688.69
"ABHD14A-ACY1"	1.60153e-09	1.69675e-25	0	1.42007e-10	4.45117e-07	1.36119e-12	0	1.09372e-07	6.26974e-17	1.76531e-08	0	0	3.98248e-19	5.45503e-112	6.27403e-09	1.47419e-09	6.47519e-08	0
"ABHD14B"	355.279	347.101	1.98736	258.591	213.069	218.793	0	37.4199	261.472	393.499	152.038	248.623	97.3061	85.6274	142.947	26.465	221.191	47.5171
"ABHD15"	2.24386	22.4388	224.572	22.8169	84.068	34.0744	4.86893	24.386	117.441	11.1423	11.8611	336.288	0	1472.06	30.586	107.253	52.3592	49.3447
"ABHD16A"	595.372	236.309	222.585	603.379	894.792	584.644	0.973787	398.165	649.248	574.121	382.791	1.43713	0	287.854	585.169	424.833	466.959	9.13791
"ABHD16B"	0	0	0	92.1125	32.371	0	0	25.2269	0	0	0	0	314.373	0	24.6387	0	117.541	0
"ABHD17A"	348.547	0	0	18.5915	1.44945	8.07024	0	88.7147	17.7269	5.27793	45.2879	0	124.751	0	48.8526	2.78579	21.3711	0
"ABHD17B"	128.648	1004.84	5.96209	363.38	67.6409	9.86363	0	373.779	383.345	377.665	173.065	251.497	429.145	0	194.986	849.665	141.049	1.82758
"ABHD17C"	1.49591	1118.44	4714.02	177.464	203.889	0	2790.87	184.157	743.053	35.7726	97.0456	1110.9	563.876	102.024	59.0479	1287.73	496.878	0
"ABHD2"	6419.7	4522.83	19351	5092.39	8789.93	5404.37	3466.68	3898.4	5760.51	4713.78	4074.84	9055.33	4009.51	7447.76	6434.1	7398.36	3853.21	12239.3
